Name,Phone Number,Email
Future Student Admission,416-736-5000,study@yorku.ca (within Canada) 
Future Student Admission,416-736-5000,intlenq@yorku.ca (undergraduate applicant outside Canada)
Keele Campus,416-736-2100,
Glendon Campus,416-736-2100,
,,
University Information Technology,416-736-5800,askit@yorku.ca
,,
York University Libraries (General Inquiry),416-736-5181,askusyul@yorku.ca
Accessing York's electronic resources from home,416-736-5150,ereport@yorku.ca
,,
Library: Clara Thomas Archives & Special Collections,416-736-5442,archives@yorku.ca
Frost Library,416-487-6727,
Map Library,"416-736-2100, Ext. 33353",
Osgood Hall Law Library (circulation & General Inquiries),416-736-5206,library@osgoode.yorku.ca
Osgood Hall Law Library (Reference Desk & Research Inquiries),        416-736-5207,lawref@osgoode.yorku.ca
Peter F. Bronfman Library,416-736-5139,
Scott Library,416-736-5181,
Sound and Moving Image Library,416-736-5508,
Steacie Science & Engineering Library,416-736-5084,
,,
,,
Bethune College,416-736-5164,bethune@yorku.ca
Calumet College Office and Stong College Office,416-736-5132,scchelp@yorku.ca
"Office of the College Head, Founders",416-736-5148,founders@yorku.ca
"Office of the College Head, McLaughlin","416-736-2100, Ext. 55128",lapscolleges@yorku.ca
"Office of the College Head, New College",416-736-5233,newcol@yorku.ca
"Office of the College Head, Vanier",416-736-5192,vanier@yorku.ca
Faculty of Liberal Arts & Professional Studies General Contact,,lapscolleges@yorku.ca
,,
,,
Glendon Academic Services ,416-487-6715,acadservices@glendon.yorku.ca 
,,
Schulich Student Services,416-736-5303,studentservices@schulich.yorku.ca
,,
,,
GoSafe,416-736-5454,safety@yorku.ca
Non-Urgent Safety Matters,416-650-8000,safety@yorku.ca
Emergencies and Urgent Situations,416-736-5333,
"The Centre for Sexual Violence Response, Support & Education",416-736-5211,thecentre@yorku.ca
"Student Counselling, Health & Well-being",416-736-5297,
Office of Student Community Relations,416-736-5211,oscr@yorku.ca
Good2Talk 24-hr Student Crisis Line,1-866-925-5454,
,,
,,
,,
School of Administrative Studies,416-736-5210,apsas@yorku.ca
Department of Anthropology,416-736-5261,lapsanth@yorku.ca
"Department of Languages, Literatures & Linguistics",416-736-5016,lapsdlll@yorku.ca
Department of Humanities,416-736-5158,lapshuma@yorku.ca
Department of Philosophy,416-736-5113,lapsphil@yorku.ca
Department of Communication Studies,416-736-5057,lapscomn@yorku.ca
Department of Social Science,416-736-5054,socsci@yorku.ca
School of Administrative Studies,416-736-5210,apsas@yorku.ca
Department of Economics,416-736-5083,lapsecon@yorku.ca
Department of English,416-736-5166,lapsengl@yorku.ca
Fundamentals of Learning,"416-736-2100, Ext. 30249",fnd1000@yorku.ca
Department of French Studies,416-736-5086,lapsfren@yorku.ca
LA&PS Internship Program,416-736-5220,lapsintr@yorku.ca
Department of History,416-736-5123,lapshist@yorku.ca
Department of Equity Studies,416-736-5235,deqs@yorku.ca
School of Human Resource Management,416-736-5806,lapsshrm@yorku.ca
Department of Communication & Media Studies,416-736-5057,lapscomn@yorku.ca
School of Information Technology,"416-736-2100, Ext. 40797",lapsitec@yorku.ca
"School of Gender, Sexuality and Women's Studies",416-650-8144,lapsgsws@yorku.ca
Department of Politics,416-736-5265,lapspols@yorku.ca
School of Public Policy & Administration,416 736 5384,lapssppa@yorku.ca
Writing Department,416-736-5270,lapswrit@yorku.ca
Department of Sociology,416-736-5015,lapssoci@yorku.ca
School of Social Work,416-736-5226,lapssowk@yorku.ca
"Faculty of Education, Student Services",416.736.5001,osp@edu.yorku.ca
"Faculty of Education, Deaf & Hard of Hearing Teacher Education program",,DeafEd@edu.yorku.ca
"Faculty of Education, Bachelor of Education",,osp@edu.yorku.ca
Faculty of Environmental and Urban Change,,eucgeog@yorku.ca
Dance,416-736-5137,dance@yorku.ca
Computational Arts,416-736-5187,comparts@yorku.ca
Design,416-736-5885,desn@yorku.ca
Cinema & Media Arts,416-736-5149,cma@yorku.ca
Music,416-736-5186,musicprg@yorku.ca
Office of Advising and Integrated Student Services,,oaiss@yorku.ca
Theatre,416-736-5172,theadept@yorku.ca
Visual Art & Art History,416-736-5187,vaah@yorku.ca
Biology / Biologie,416 736-2100,biology@glendon.yorku.ca
Business Economics / Économie et commerce,416-487-6712,economics@glendon.yorku.ca
Canadian Studies / Études canadiennes,"416-736-2100, Ext. 88281",canada@glendon.yorku.ca
Communications,416-736-2100,coms@glendon.yorku.ca
Drama Studies / Études d'art dramatique,416-487-6732,drama@glendon.yorku.ca
Economics / Science économique,416-487-6712,economics@glendon.yorku.ca
English / Études anglaises,416-736-2100,english@glendon.yorku.ca
French Studies / Études françaises,416 736-2100,francais@glendon.yorku.ca
Language Training Centre for Studies in French / Centre d’apprentissage de français,,fsl@glendon.yorku.ca
"Gender, Sexuality and Women's Studies / Études des femmes, de genre et de la sexualité",,womenstudies@glendon.yorku.ca
History / Histoire,416-487-6724,history@glendon.yorku.ca
International Studies / Études internationales,416-487-6704,ilst@glendon.yorku.ca
Exchange Program Office / Bureau du programme d’échanges,,exchange@glendon.yorku.ca
Multidisciplinary Studies / Études pluridisciplinaires,416-487-6732,mds@glendon.yorku.ca
Linguistics and Language Studies / Linguistique et sciences du langage,416-736-2100,lin@glendon.yorku.ca
International Studies / Études internationales,,dd-isba@glendon.yorku.ca
Mathematics / Mathématiques,416-487-6712,math@glendon.yorku.ca
Philosophy / Philosophie,416-736-2100,philosophy@glendon.yorku.ca
Political Science / Science politique,416-736-2100,polsci@glendon.yorku.ca
Psychology / Psychologie,416 736-2100,psychology@glendon.yorku.ca
Sociology / Sociologie,"416-736-2100, Ext. 66741",sociology@glendon.yorku.ca
Hispanic Studies / Études hispaniques,416-736-2100,spanish@glendon.yorku.ca
"Gender, Sexuality and Women's Studies / Études des femmes, de genre et de la sexualité",416-736-2100,womenstudies@glendon.yorku.ca
Translation / Traduction,416 736-2100,translation@glendon.yorku.ca
School of Health Policy and Management,416-736-5157,shpm@yorku.ca
School of Global Health,"416-736-2100, Ext. 55028",sgh@yorku.ca
School of Kinesiology and Health Science,416-736-5807,ugkhs@yorku.ca
"Office of Student & Academic Services, Faculty of Health",,hhadvise@yorku.ca
School of Nursing,416-736-5271,nursing@yorku.ca
Department of Psychology,416-736-5117,psyc@yorku.ca
Civil Engineering,416-736-5925 or 416-736-5948 ,civilupa@yorku.ca
Cooperative Education,,lsecoop@lassonde.yorku.ca
Electrical Engineering & Computer Science,1-416-736-5053,ug@eecs.yorku.ca
"Engineering (ENG 1101, ENG 1102, ENG 1500, ENG 2001, ENG 2003, ENG 3000, ENG 4000)",,eng@lassonde.yorku.ca
"ESSE (ENG 4550, ENG 4560)",,https://esse.lassonde.yorku.ca/undergrad
Earth and Space Science and Engineering,416-736-5245 ,essedept@lassonde.yorku.ca
International Exchange,416-736-5177,exchange@yorku.ca (incoming exchange students); goglobal@yorku.ca (outgoing exchange students)
Mechanical Engineering,416-736 5901,mech_upa@lassonde.yorku.ca
Schulich School of Business,416-736-2100,concierge@schulich.yorku.ca
Bethune College,,bccourse@yorku.ca
Biology & Chemistry,,biology@yorku.ca
Biology & Chemistry,,chemasst@yorku.ca
Biology,416-736-5243,biology@yorku.ca
Physics and Astronomy,416-736-5249,phas@yorku.ca
Chemistry,"416-736-5246 or 416-736-2100, Ext. 55246",chemasst@yorku.ca
Science Academic Services,,sandrang@yorku.ca
Geography,,eucgeog@yorku.ca
Science Academic Services,,sciquest@yorku.ca
Mathematics and Statistics,"416-736-2100, Ext. 55250",ugmath@yorku.ca
Natural Science,,natsci@yorku.ca
Science and Techonology,,stsadmin@yorku.ca
,,
,,
Keele Campus - Graduate Housing,"416-736-5152, Press ""1""",apstatus@yorku.ca
Keele Campus - Undergraduate Housing,416-736-5152, undergradres@yorku.ca
Housing Glendon Campus,416-487-6844,residence@glendon.yorku.ca
English Advising,416-736-5222,laps@yorku.ca
Creative Writing Advising,"416-736-5166, Ext. 33304",lapscrwr@yorku.ca
Office of Advising and Integrated Student Services,,oaiss@yorku.ca
Lassonde acdemic advising,,ask@lassonde.yorku.ca 
Support for Current Lassonde Students,416-650-8215,ask@lassonde.yorku.ca
Support for Prospective Undergraduate Lassonde Students,647-465-8519,ask@lassondeschool.com
,,
,,
,,
Osgoode Hall Law School,,student_services@osgoode.yorku.ca
"School of the Arts, Media, Performance & Design",,oaiss@yorku.ca
Faculty of Education,,osp@edu.yorku.ca
Faculty of Environmental and Urban Change,,euadvise@yorku.ca
Glendon College,,acadservices@glendon.yorku.ca
Faculty of Health,,hhadvise@yorku.ca
Lassonde School of Engineering,,ask@lassonde.yorku.ca
Schulich School of Business,,undergraduate@schulich.yorku.ca
Faculty of Science,,sciadvis@yorku.ca
,,
Student Community & Leadership Development,416-736-5144,
Career Education & Development,416-736-5351,carrer@yorku.ca
Registrial Services,416-736-5000,rscheck@yorku.ca
Student Accessibility Service,416-736-5755,sasinfo@yorku.ca
"Student Counselling, Health & Well being",416-736-5297,aishah@yorku.ca.
"The Centre of Sexual Violence Response, Support, & Education",416-736-5211,thecentre@yorku.ca
Globally Networking Learning,,gnl@yorku.ca
York International,1-416-736-5177,
International Student and Scholar Services (general Services),,iadvisor@yorku.ca 
International Student and Scholar Services (Health Insurance),,uhip@yorku.ca
International Student and Scholar Services (Peer Program),,peerlead@yorku.ca
